actor_name
"Matthew McConaughey"
"James Remar"
"Faye Dunaway"
"Donald Sutherland"
"Donal Logue"
"Jeff Daniels"
"Martin Landau"
"Sarah Jessica Parker"
"Jeffrey Jones"
"Bill Murray"
"Jeff Goldblum"
"Phil Hartman"
"Tom Cruise"
"Stephen Rea"
"Nick Nolte"
"James Earl Jones"
"Arnold Schwarzenegger"
"Harrison Ford"
"Carrie Fisher"
"Aidan Quinn"
"David Strathairn"
"Kenneth Branagh"
"Ian Holm"
"John Cleese"
"Robert Downey Jr."
"Pruitt Taylor Vince"
"Dustin Hoffman"
"Danny Aiello"
"George Martin"
"Anjelica Huston"
"Uma Thurman"
"Ving Rhames"
"Leonardo DiCaprio"
"Lance Henriksen"
"Rupert Everett"
"Richard E. Grant"
"Tim Robbins"
"Rod Steiger"
"Kurt Russell"
"Malcolm McDowell"
"James Hong"
"Patrick Stewart"
"William Shatner"
"Art Evans"
"John C. Reilly"
"Peter Gallagher"
"Sean Young"
"Alice Drummond"
"Kristin Scott Thomas"
"Willem Dafoe"
"Will Patton"
"William H. Macy"
"John Goodman"
"Siobhan Fallon"
"Andie MacDowell"
"James Rebhorn"
"Robert Loggia"
"Matthew Broderick"
"Bridget Fonda"
"Robert Englund"
"Cameron Diaz"
"Leslie Nielsen"
"George Kennedy"
"Kathleen Freeman"
"Elliott Gould"
"Renée Zellweger"
"Joe Morton"
"Beth Grant"
"Bruce McGill"
"Jamie Lee Curtis"
"Charlton Heston"
"Dennis Quaid"
"Catherine O'Hara"
"Sam Neill"
"David Warner"
"Michelle Pfeiffer"
"Jonathan Pryce"
"Héctor Elizondo"
"Stephen Tobolowsky"
"John Leguizamo"
"Luis Guzmán"
"John Lithgow"
"Max Perlich"
"Brad Dourif"
"Nigel Hawthorne"
"Denis Leary"
"Bill Cobbs"
"Bob Balaban"
"Gary Busey"
"Michael Ironside"
"Matt Damon"
"Charlie Sheen"
"Miguel Ferrer"
"John Heard"
"Ian McKellen"
"Chevy Chase"
"Diane Keaton"
"Oliver Platt"
"Michael Lerner"
"Jason Robards"
"Charles Napier"
"Daniel von Bargen"
"Tracey Walter"
"Billy Zane"
"Peter Vaughan"
"Ed Begley Jr."
"Cary Elwes"
"Dom DeLuise"
"Annabella Sciorra"
"Ned Beatty"
"Kathleen Turner"
"Alec Baldwin"
"Meg Ryan"
"Caroline Aaron"
"M. Emmet Walsh"
"Nastassja Kinski"
"William Hickey"
"Kiefer Sutherland"
"Billy Bob Thornton"
"Ed Lauter"
"Vincent Schiavelli"
"Jack Nicholson"
"Michael Keaton"
"Scott Glenn"
"Frankie Faison"
"Larry Miller"
"William Holden"
"Ernest Borgnine"
"Frances McDormand"
"Vanessa Redgrave"
"Emilio Estevez"
"Allison Janney"
"Shirley MacLaine"
"Gérard Depardieu"
"Skeet Ulrich"
"Breckin Meyer"
"Philip Seymour Hoffman"
"Paul Guilfoyle"
"Ewan McGregor"
"Randy Quaid"
"Kevin Kline"
"James Coburn"
"Arthur Tovey"
"Jay O. Sanders"
"Laurence Fishburne"
"Philip Bosco"
"Corey Feldman"
"Sam Rockwell"
"Jennifer Tilly"
"Bess Flowers"
"Martin Balsam"
"James Stewart"
"Alfred Hitchcock"
"Ward Bond"
"Cary Grant"
"Leo G. Carroll"
"Jack Lemmon"
"Walter Matthau"
"Peter Lorre"
"Gino Corrado"
"Sam Harris"
"Gregory Peck"
"Joseph Cotten"
"Bela Lugosi"
"Vincent Price"
"Pat Flaherty"
"Paul Newman"
"Ian Hart"
"Bruce Dern"
"Roddy McDowall"
"Joss Ackland"
"Heather Graham"
"Jim Broadbent"
"Tom Skerritt"
"Harry Dean Stanton"
"Dick Miller"
"Frank Oz"
"Billy Crystal"
"Sigourney Weaver"
"Beverly D'Angelo"
"Barbara Hershey"
"Harry Shearer"
"Robert Redford"
"Charles Durning"
"Burt Young"
"John Cusack"
"Brian Doyle-Murray"
"Kathy Bates"
"Ian Abercrombie"
"Gena Rowlands"
"Armin Mueller-Stahl"
"Lon Chaney Jr."
"Michael McKean"
"Stellan Skarsgård"
"Dean Stockwell"
"Sissy Spacek"
"Colm Meaney"
"David Arquette"
"James Russo"
"Anne Heche"
"Paul Giamatti"
"Tony Shalhoub"
"Philip Baker Hall"
"Richard Masur"
"Charlize Theron"
"Timothy Hutton"
"Danny Glover"
"Lucinda Jenney"
"Stanley Tucci"
"Jon Lovitz"
"Steve Martin"
"Martin Donovan"
"Christopher Lee"
"Martha Plimpton"
"Joe Mantegna"
"John Wood"
"Glenne Headly"
"Paul Dooley"
"Joan Cusack"
"Karen Black"
"Seymour Cassel"
"Helen Mirren"
"Steve Guttenberg"
"Jennifer Jason Leigh"
