crew_name
"Eric Leighton"
"Tom Dey"
"Dominic Sena"
"Bobby Farrelly"
"Peter Farrelly"
"Des McAnuff"
"Jon Turteltaub"
"Bryan Singer"
"Peter Segal"
"Cameron Crowe"
"Stephen T. Kay"
"Jay Roach"
McG
"Antony Hoffman"
"M. Night Shyamalan"
"Mark Dindal"
"Nancy Meyers"
"Elaine May"
"Henry Selick"
"Demian Lichtenstein"
"Gore Verbinski"
"John Herzfeld"
"Lee Tamahori"
"Peter Chelsom"
"Andrew Adamson"
"Vicky Jenson"
"Baz Luhrmann"
"Steve Carr"
"Lawrence Guterman"
"Hironobu Sakaguchi"
"Motonori Sakakibara"
"Frank Oz"
"Andrei Konchalovsky"
"Albert Magnoli"
"Brett Ratner"
"John Madden"
"Rod Lurie"
"Harold Becker"
"Pete Docter"
"Peter Jackson"
"Gregory Hoblit"
"Randall Wallace"
"Chris Wedge"
"Guillermo del Toro"
"Sam Raimi"
"Kelly Asbury"
"Lorna Cook"
"Phil Alden Robinson"
"Doug Liman"
"Raja Gosnell"
"Dean DeBlois"
"Chris Sanders"
"Sam Mendes"
"Kathryn Bigelow"
"Ron Underwood"
"Wych Kaosayananda"
"Michael Lembeck"
"Wayne Wang"
"Marc Lawrence"
"Mark Steven Johnson"
"Ronald F. Maxwell"
"Antoine Fuqua"
"Andrew Stanton"
"F. Gary Gray"
"John Singleton"
"Ron Shelton"
"Ang Lee"
"Patrick Gilmore"
"Stephen Norrington"
"Gary Ross"
"Jesse Dylan"
"Clark Johnson"
"Peter Berg"
"Joel Coen"
"Gary Fleder"
"Joe Dante"
"Michael Lehmann"
"Anthony Minghella"
"P.J. Hogan"
"Todd Phillips"
"Will Finn"
"John Sanford"
"Kevin Bray"
"John Lee Hancock"
"Jim Gillespie"
"Conrad Vernon"
"Alfonso Cuarón"
"David Twohy"
"Frank Coraci"
"Alex Proyas"
"Paul Greengrass"
Pitof
"Kerry Conran"
"Rob Letterman"
"Jay Russell"
"Charles Shyer"
"David S. Goyer"
"James L. Brooks"
"Andy Tennant"
"Francis Lawrence"
"Adam Shankman"
"Florent-Emilio Siri"
"Carlos Saldanha"
"Breck Eisner"
"Tom McGrath"
"Christopher Nolan"
"Tim Story"
"John Dahl"
"Terry Gilliam"
"Mark Waters"
"Andrzej Bartkowiak"
"Karyn Kusama"
"Robert Schwentke"
"Mike Newell"
"Jon Favreau"
"Rob Marshall"
"Dean Parisot"
"James McTeigue"
"Steve 'Spaz' Williams"
"J.J. Abrams"
"Karey Kirkpatrick"
"Peyton Reed"
"Joe Ranft"
"Anthony Russo"
"Joe Russo"
"Justin Lin"
"Keenen Ivory Wayans"
"Gil Kenan"
"Adam McKay"
"Shawn Levy"
"Gabriele Muccino"
"Steve Oedekerk"
"Tony Bill"
"Jill Culton"
"Roger Allers"
"Anthony Stacchi"
"David Bowers"
"Sam Fell"
"Gary Winick"
"Stefen Fangmeier"
"Robert De Niro"
"Bill Condon"
"Gábor Csupó"
"Brian Robbins"
"Jan Pinkava"
"Zack Snyder"
"Stephen J. Anderson"
"James Foley"
"Chris Miller"
"Raman Hui"
"Ash Brannon"
"Len Wiseman"
"David Yates"
"Dennis Dugan"
"Matthew Vaughn"
"David Silverman"
"Doug Lefler"
"Oliver Hirschbiegel"
"James Mangold"
"Shekhar Kapur"
"Simon J. Smith"
"David Dobkin"
"Joby Harold"
"Chris Weitz"
"Tim Hill"
"Shim Hyung-Rae"
"Jimmy Hayward"
"Steve Martino"
"Marco Schnabel"
"George Clooney"
"Michael Patrick King"
"Mark Osborne"
"John Stevenson"
"Louis Leterrier"
"Timur Bekmambetov"
"Phyllida Lloyd"
"Ben Stiller"
"Mathieu Kassovitz"
"Frank Miller"
"Jon Avnet"
"D.J. Caruso"
"Marc Forster"
"Chris Williams"
"Byron Howard"
"Seth Gordon"
"Scott Derrickson"
"David Frankel"
"Robert Stevenhagen"
"Iain Softley"
"Judd Apatow"
"Tony Gilroy"
"Quentin Tarantino"
"Kevin Macdonald"
"Gavin Hood"
"Joe Wright"
"Hoyt Yeatman"
"Phil Lord"
"Christopher Miller"
"Peter Billingsley"
"Spike Jonze"
"Jorge Blanco"
"Javier Abad"
"Marcos Martínez"
"Guy Ritchie"
"Albert Hughes"
"Allen Hughes"
"Thomas Langmann"
"Frédéric Forestier"
"Alejandro Amenábar"
"Pierre Morel"
"Robert Luketic"
"Joe Carnahan"
"Lee Unkrich"
"Mike Mitchell"
"David Slade"
"Pierre Coffin"
"Chris Renaud"
"Sylvester Stallone"
"Edgar Wright"
"Ryan Murphy"
"Brad Peyton"
"Nathan Greno"
"Florian Henckel von Donnersmarck"
"Joseph Kosinski"
"Paul Weitz"
"Steve Antin"
"Eric Brevig"
"Michel Gondry"
"George Nolfi"
"Jonathan Liebesman"
"Kenneth Branagh"
"Scott Stewart"
"Jennifer Yuh Nelson"
"Brad Lewis"
"Rupert Wyatt"
"Marcus Nispel"
"Joss Whedon"
"Gary McKendry"
"Tarsem Singh"
"Måns Mårlind"
"Björn Stein"
"Anthony Hemingway"
"Zhang Yimou"
"Daniel Espinosa"
"Brian Taylor"
"Mark Neveldine"
"Kyle Balda"
"Larry Charles"
"Rupert Sanders"
"Peter Lord"
"Jeff Newitt"
"Mark Andrews"
"Steve Purcell"
"Marc Webb"
"Mike Thurmeier"
"Akiva Schaffer"
"Chris Butler"
"Sean Anders"
"Genndy Tartakovsky"
"Tom Tykwer"
"Rich Moore"
"Dan Bradley"
"Peter Ramsey"
"Christopher McQuarrie"
"Tom Hooper"
"Ruben Fleischer"
"Juan Diego Solanas"
"Richard LaGravenese"
"John Moore"
"Jon M. Chu"
"Kirk De Micco"
"Shane Black"
"Dan Scanlon"
"Neill Blomkamp"
"David Soren"
"Baltasar Kormákur"
"Thor Freudenthal"
"Harald Zwart"
"Cody Cameron"
"Kris Pearn"
"Alan Taylor"
"Carl Rinsch"
"Jennifer Lee"
"Neil Burger"
"Stuart Beattie"
"José Padilha"
"Akiva Goldsman"
"Noam Murro"
"Scott Waugh"
"Darren Aronofsky"
"Wally Pfister"
"Gareth Edwards"
"Dan St. Pierre"
"Robert Stromberg"
"Matt Reeves"
"James Gunn"
"Patrick Hughes"
"Robert Rodriguez"
"Graham Annable"
"Gary Shore"
"David Ayer"
"Don Hall"
